序号,企业名称,省份,行业,营收(万元)
265,攀华集团有限公司,江苏省,金属制品业,2751679
266,长城汽车股份有限公司天津哈弗分公司,天津市,汽车制造业,2730725
267,辽宁禾丰牧业股份有限公司,辽宁省,农副食品加工业,2730333
268,江苏沃得机电集团有限公司,江苏省,通用设备制造业,2706992
269,上海均瑶（集团）有限公司,上海市,综合,2699681
270,合众人寿保险股份有限公司,湖北省,保险业,2686142
271,山东垦利石化集团有限公司,山东省,石油加工、炼焦和核燃料加工业,2674187
272,鲁丽集团有限公司,山东省,黑色金属冶炼和压延加工业,2673139
273,北京链家房地产经纪有限公司,北京市,房地产业,2669091
274,宁波均胜电子股份有限公司,浙江省,汽车制造业,2660560
275,兴华财富集团有限公司,河北省,金属制品业,2654290
276,利时集团股份有限公司,浙江省,橡胶和塑料制品业,2653455
277,山东鲁花集团有限公司,山东省,农副食品加工业,2653368
278,康美药业股份有限公司,广东省,医药制造业,2647697
279,晶科能源有限公司,江西省,电气机械和器材制造业,2647294
280,河北新武安钢铁集团烘熔钢铁有限公司,河北省,黑色金属冶炼和压延加工业,2634789
281,河南黄河实业集团股份有限公司,河南省,非金属矿物制品业,2618699
282,江门市三七实业有限公司,广东省,批发业,2618350
283,森马集团有限公司,浙江省,纺织服装、服饰业,2612789
284,深圳市富森供应链管理有限公司,广东省,批发业,2608025
285,江苏天工集团有限公司,江苏省,黑色金属冶炼和压延加工业,2597563
286,江苏金峰水泥集团有限公司,江苏省,非金属矿物制品业,2590681
287,南通化工轻工股份有限公司,江苏省,批发业,2587673
288,太平鸟集团有限公司,浙江省,批发业,2582437
289,河南正商置业有限公司,河南省,房地产业,2572175
290,海外海集团有限公司,浙江省,商务服务业,2565857
291,北京三快在线科技有限公司,北京市,互联网和相关服务,2565709
292,重庆新鸥鹏企业（集团）有限公司,重庆市,房地产业,2562669
293,新八建设集团有限公司,湖北省,房屋建筑业,2561868
294,升华集团控股有限公司,浙江省,批发业,2559191
295,歌尔股份有限公司,山东省,计算机、通信和其他电子设备制造业,2553673
296,百兴集团有限公司,江苏省,批发业,2549912
297,河北新武安钢铁集团鑫汇冶金有限公司,河北省,黑色金属冶炼和压延加工业,2529077
298,福建永荣控股集团有限公司,福建省,化学纤维制造业,2527052
299,浙江中南建设集团有限公司,浙江省,房屋建筑业,2520921
300,新华锦集团,山东省,批发业,2513177
301,东力控股集团有限公司,浙江省,商务服务业,2497705
302,利群集团股份有限公司,山东省,零售业,2491708
303,重庆中昂投资集团有限公司,重庆市,房地产业,2490969
304,福建省金纶高纤股份有限公司,福建省,化学纤维制造业,2488681
305,江苏三木集团有限公司,江苏省,化学原料和化学制品制造业,2477309
306,象翌微链科技发展有限公司,广西壮族自治区,互联网和相关服务,2475747
307,华南物资集团有限公司,重庆市,批发业,2474280
308,江苏新海石化有限公司,江苏省,石油加工、炼焦和核燃料加工业,2453121
309,江苏省镔鑫钢铁集团有限公司,江苏省,黑色金属冶炼和压延加工业,2437824
310,泰禾集团股份有限公司,福建省,房地产业,2433116
311,洛阳栾川钼业集团股份有限公司,河南省,有色金属矿采选业,2414755
312,宜华企业（集团）有限公司,广东省,木材加工和木、竹、藤、棕、草制品业,2399674
313,江苏新潮科技集团有限公司,江苏省,计算机、通信和其他电子设备制造业,2397733
314,福星集团控股有限公司,湖北省,综合,2390255
315,深圳金雅福控股集团有限公司,广东省,商务服务业,2364946
316,烟台恒邦集团有限公司,山东省,有色金属冶炼和压延加工业,2357739
317,深圳市年富供应链有限公司,广东省,商务服务业,2355539
318,天津亿联投资控股集团有限公司,天津市,房地产业,2351824
319,广州市时代控股集团有限公司,广东省,房地产业,2346418
320,花园集团有限公司,浙江省,房屋建筑业,2345925
321,东方润安集团有限公司,江苏省,黑色金属冶炼和压延加工业,2325302
322,新七建设集团有限公司,湖北省,房屋建筑业,2323439
323,山东中海化工集团有限公司,山东省,石油加工、炼焦和核燃料加工业,2322638
324,武汉当代科技产业集团股份有限公司,湖北省,医药制造业,2321110
325,金发科技股份有限公司,广东省,橡胶和塑料制品业,2313738
326,得力集团,浙江省,文教、工美、体育和娱乐用品制造业,2308832
327,新华发集团有限公司,江苏省,黑色金属冶炼和压延加工业,2298919
328,浙江元立金属制品集团有限公司,浙江省,金属制品业,2296534
329,新凤鸣集团股份有限公司,浙江省,化学纤维制造业,2296328
330,深圳华强集团有限公司,广东省,软件和信息技术服务业,2283002
331,重庆华宇集团有限公司,重庆市,房地产业,2262331
332,河南众品食业股份有限公司,河南省,农副食品加工业,2250163
333,舜宇集团有限公司,浙江省,计算机、通信和其他电子设备制造业,2243958
334,华立集团股份有限公司,浙江省,综合,2234794
335,淄博齐翔腾达化工股份有限公司,山东省,化学原料和化学制品制造业,2222620
336,巨星控股集团有限公司,浙江省,通用设备制造业,2205600
337,永鼎集团有限公司,江苏省,计算机、通信和其他电子设备制造业,2204688
338,三花控股集团有限公司,浙江省,通用设备制造业,2201641
339,东莞华贝电子科技有限公司,广东省,计算机、通信和其他电子设备制造业,2185731
340,建华建材（中国）有限公司,江苏省,其他制造业,2184000
341,伟星集团有限公司,浙江省,其他制造业,2182481
342,南京新华海科技产业集团有限公司,江苏省,综合,2181872
343,厦门禹洲集团股份有限公司,福建省,房地产业,2170076
344,常熟市龙腾特种钢有限公司,江苏省,黑色金属冶炼和压延加工业,2166918
345,震雄铜业集团有限公司,江苏省,有色金属冶炼和压延加工业,2163730
346,中信国安化工有限公司,山东省,化学原料和化学制品制造业,2162318
347,苏州金螳螂企业（集团）有限公司,江苏省,建筑装饰和其他建筑业,2156172
348,重庆市中科控股有限公司,重庆市,房地产业,2150955
349,山东五征集团有限公司,山东省,汽车制造业,2137381
350,纳思达股份有限公司,广东省,计算机、通信和其他电子设备制造业,2132393
351,无限极（中国）有限公司,广东省,食品制造业,2123896
352,瑞声科技控股有限公司,广东省,计算机、通信和其他电子设备制造业,2111856
353,佛山市兴海铜铝业有限公司,广东省,综合,2111182
354,广州立白企业集团有限公司,广东省,化学原料和化学制品制造业,2107150
355,安徽国购投资集团,安徽省,综合,2106875
356,连云港兴鑫钢铁有限公司,江苏省,黑色金属冶炼和压延加工业,2106439
357,曙光控股集团有限公司,浙江省,房屋建筑业,2104735
358,中国万向控股有限公司,上海市,保险业,2092178
359,山东寿光鲁清石化有限公司,山东省,石油加工、炼焦和核燃料加工业,2089273
360,新疆生产建设兵团第八师天山铝业股份有限公司,新疆生产建设兵团,有色金属冶炼和压延加工业,2088966
361,众泰汽车股份有限公司,安徽省,汽车制造业,2080431
362,成都蛟龙港（成都蛟龙投资有限责任公司、成都蛟龙经济开发有限公司）,四川省,综合,2064071
363,河南金汇不锈钢产业集团有限公司,河南省,黑色金属冶炼和压延加工业,2062157
364,华泽集团有限公司,湖南省,酒、饮料和精制茶制造业,2057726
365,东兆长泰集团有限公司,北京市,综合,2056136
366,山东奥德燃气有限公司,山东省,燃气生产和供应业,2049511
367,三鼎控股集团有限公司,浙江省,纺织业,2046637
368,深圳市信利康供应链管理有限公司,广东省,装卸搬运和运输代理业,2044759
369,广东联塑科技实业有限公司,广东省,橡胶和塑料制品业,2036000
370,德邦物流股份有限公司,上海市,装卸搬运和运输代理业,2035011
371,三盛集团有限公司,福建省,房地产业,2033468
372,河北鑫海控股有限公司,河北省,石油加工、炼焦和核燃料加工业,2026755
373,武汉市金马凯旋家具投资有限公司,湖北省,综合,2015948
374,月星集团有限公司,上海市,综合,2012376
375,广东格兰仕集团有限公司,广东省,电气机械和器材制造业,2009160
376,利泰集团有限公司,广东省,批发业,2008352
377,河南龙成集团有限公司,河南省,黑色金属冶炼和压延加工业,2007863
378,上海龙昂国际贸易有限公司,上海市,批发业,2005310
379,红星美凯龙控股集团有限公司,上海市,综合,2004436
380,宗申产业集团有限公司,重庆市,铁路、船舶、航空航天和其他运输设备制造业,2003553
381,中如建工集团有限公司,江苏省,房屋建筑业,2002141
382,宁德时代新能源科技股份有限公司,福建省,电气机械和器材制造业,1999686
383,中太建设集团股份有限公司,河北省,房屋建筑业,1984447
384,金正大生态工程集团股份有限公司,山东省,化学原料和化学制品制造业,1983354
385,福建恒安集团有限公司,福建省,造纸和纸制品业,1982503
386,达利食品集团有限公司,福建省,食品制造业,1979911
387,山西潞宝集团,山西省,石油加工、炼焦和核燃料加工业,1972511
388,浙江宝利德股份有限公司,浙江省,零售业,1964035
389,奥康集团有限公司,浙江省,皮革、毛皮、羽毛及其制品和制鞋业,1953018
390,万马联合控股集团有限公司,浙江省,零售业,1950751
391,江西博能实业集团有限公司,江西省,金属制品业,1950362
392,江苏金昇实业股份有限公司,江苏省,专用设备制造业,1948520
393,深圳市华富洋供应链有限公司,广东省,商务服务业,1945759
394,圆通速递有限公司,上海市,邮政业,1931661
395,祥生实业集团有限公司,浙江省,房屋建筑业,1929157
396,美锦能源集团有限公司,山西省,石油加工、炼焦和核燃料加工业,1925687
397,润东汽车集团有限公司,江苏省,综合,1911108
398,广州市方圆房地产发展有限公司,广东省,房地产业,1907461
399,兴惠化纤集团有限公司,浙江省,纺织业,1898885
400,福建捷联电子有限公司,福建省,计算机、通信和其他电子设备制造业,1898517
401,大运九州集团有限公司,山西省,汽车制造业,1894596
402,重庆市博赛矿业（集团）有限公司,重庆市,有色金属冶炼和压延加工业,1894082
403,深圳市思贝克集团有限公司,广东省,互联网和相关服务,1890062
404,浙江大华技术股份有限公司,浙江省,软件和信息技术服务业,1884446
405,南京途牛科技有限公司,江苏省,互联网和相关服务,1880411
406,浙江东南网架集团有限公司,浙江省,金属制品业,1876376
407,北京大北农科技集团股份有限公司,北京市,农、林、牧、渔服务业,1874173
408,德华集团控股股份有限公司,浙江省,木材加工和木、竹、藤、棕、草制品业,1872677
409,福耀玻璃工业集团股份有限公司,福建省,非金属矿物制品业,1871561
410,连云港亚新钢铁有限公司,江苏省,黑色金属冶炼和压延加工业,1860241
411,山东永鑫能源集团有限公司,山东省,石油加工、炼焦和核燃料加工业,1848000
412,山东远通汽车贸易集团有限公司,山东省,零售业,1845125
413,淄博商厦股份有限公司,山东省,零售业,1841636
414,搜于特集团股份有限公司,广东省,综合,1834871
